name,score,subtitle,reviewUploadedAt,address,city,state,lat,lng,reviewUrl,directionsUrl,sourceType,confidence,notes,slug,thumbnailFilename,thumbnailPath,videoFilename,videoPath,status
Rep's Burgers,8.2,Phil ate the Orignal Double Smash Burger (plain),2024-03-29,139 N Northwest Hwy,Palatine,IL,42.1132162,-88.0334838,https://www.instagram.com/reel/C5GO6KGrJ3F/,https://www.google.com/maps/dir/?api=1&destination=139%20N%20Northwest%20Hwy%2C%20Palatine%2C%20IL%2060067%2C%20USA,structured-data,high,,reps-burgers,reps-burgers.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/reps-burgers.jpg,reps-burgers.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/reps-burgers.mp4,success
JT's Genuine Sandwich Shop,7.8,Phil ate the Breaded Pork Tenderloin Sandy.,2024-04-03,3970 N Elston Ave,Chicago,IL,41.9531568,-87.7187423,https://www.instagram.com/reel/C5TG2u5LgFB/,https://www.google.com/maps/dir/?api=1&destination=3970%20N%20Elston%20Ave%2C%20Chicago%2C%20IL%2060618%2C%20USA,structured-data,high,,jts-genuine-sandwich-shop,jts-genuine-sandwich-shop.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/jts-genuine-sandwich-shop.jpg,jts-genuine-sandwich-shop.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/jts-genuine-sandwich-shop.mp4,success
Bacowka,8.5,Phil ate the Highlander Potato Pancakes.,2024-04-05,1120 S Roselle Rd,Schaumburg,IL,42.0070437,-88.0823552,https://www.instagram.com/reel/C5YQhuuL77z/,https://www.google.com/maps/dir/?api=1&destination=1120%20S%20Roselle%20Rd%2C%20Schaumburg%2C%20IL%2060193%2C%20USA,structured-data,high,,bacowka,bacowka.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/bacowka.jpg,bacowka.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/bacowka.mp4,success
County Farm Bagels,7.6,"Phil ate the Bacon, Pepper Egg, and Cheese on a Cheddar Oregano bagel w/ Bacon Cheddar Cream Cheese.",2024-04-08,118 N Main St,Wheaton,IL,41.8654747,-88.1068087,https://www.instagram.com/reel/C5f-3RqrDGB/,https://www.google.com/maps/dir/?api=1&destination=118%20N%20Main%20St%2C%20Wheaton%2C%20IL%2060187%2C%20USA,structured-data,high,,county-farm-bagels,county-farm-bagels.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/county-farm-bagels.jpg,county-farm-bagels.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/county-farm-bagels.mp4,success
Buffalo Joe's,8,Phil ate the Buffalo Wings.,2024-04-10,812 Clark St,Evanston,IL,42.049785,-87.68251289999999,https://www.instagram.com/reel/C5lIqHTr5le/,https://www.google.com/maps/dir/?api=1&destination=812%20Clark%20St%2C%20Evanston%2C%20IL%2060201%2C%20USA,structured-data,high,,buffalo-joes,buffalo-joes.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/buffalo-joes.jpg,buffalo-joes.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/buffalo-joes.mp4,success
All Ways Catering & Deli,8.1,Phil ate the BLT Sandy. (Fridays Only),2024-04-12,110 Turner Ave,Elk Grove Village,IL,41.99359630000001,-88.0004719,https://www.instagram.com/reel/C5qSF3OL8Wv/,https://www.google.com/maps/dir/?api=1&destination=110%20Turner%20Ave%2C%20Elk%20Grove%20Village%2C%20IL%2060007%2C%20USA,structured-data,high,,all-ways-catering-and-deli,all-ways-catering-and-deli.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/all-ways-catering-and-deli.jpg,all-ways-catering-and-deli.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/all-ways-catering-and-deli.mp4,success
Tacos Jerez,7.2,Phil ate the Quesabirria Tacos.,2024-04-15,1410 Golf Rd,Rolling Meadows,IL,42.0517855,-87.9961941,https://www.instagram.com/reel/C5yAZssrFt8/,https://www.google.com/maps/dir/?api=1&destination=1410%20Golf%20Rd%2C%20Rolling%20Meadows%2C%20IL%2060008%2C%20USA,structured-data,high,,tacos-jerez,tacos-jerez.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/tacos-jerez.jpg,tacos-jerez.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/tacos-jerez.mp4,success
Mughal The Biryani House,8,Phil ate the Tikka Masala.,2024-04-17,510 W Touhy Ave,Park Ridge,IL,42.0113898,-87.8304529,https://www.instagram.com/reel/C53KE4CLtIg/,https://www.google.com/maps/dir/?api=1&destination=510%20W%20Touhy%20Ave%2C%20Park%20Ridge%2C%20IL%2060068%2C%20USA,structured-data,high,,mughal-the-biryani-house,mughal-the-biryani-house.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/mughal-the-biryani-house.jpg,mughal-the-biryani-house.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/mughal-the-biryani-house.mp4,success
GT's Fast Food,8.4,"Phil made and ate a custom burger, now named ""The Goode Burger""",2024-04-19,5016 N Pulaski Rd,Chicago,IL,41.972321,-87.72857429999999,https://www.instagram.com/reel/C58TmsHLTUL/,https://www.google.com/maps/dir/?api=1&destination=5016%20N%20Pulaski%20Rd%2C%20Chicago%2C%20IL%2060630%2C%20USA,structured-data,high,,gts-fast-food,gts-fast-food.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/gts-fast-food.jpg,gts-fast-food.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/gts-fast-food.mp4,success
Avanti Caffe,8.3,Phil ate the Diavolo Tostino sandwich.,2024-04-22,1900 Elmhurst Rd,Mt Prospect,IL,42.0277927,-87.94108279999999,https://www.instagram.com/reel/C6EB_NXrLmz/,https://www.google.com/maps/dir/?api=1&destination=1900%20Elmhurst%20Rd%2C%20Mt%20Prospect%2C%20IL%2060056%2C%20USA,structured-data,high,Present on the current site map but not in the provided known list.,avanti-caffe,avanti-caffe.jpg,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-thumbnails/avanti-caffe.jpg,avanti-caffe.mp4,/Users/anthonylarosa/Desktop/Super Goode Review Thumbnails/downie-videos/avanti-caffe.mp4,success
